Player,Stage 1: FPS,Stage 2
Klay Thompson,20.724999999999998,38.70967741935484
JT Thor,5.6,25.806451612903224
Matisse Thybulle,5.175000000000001,25.806451612903224
Xavier Tillman Sr.,10.25,16.129032258064516
Isaiah Todd,0.7,12.903225806451612
Obi Toppin,17.275,38.70967741935484
Juan Toscano-Anderson,9.575,19.35483870967742
Karl-Anthony Towns,40.8,45.16129032258064
Gary Trent Jr.,27.849999999999998,41.935483870967744
P.J. Tucker,15.025,32.25806451612903
Myles Turner,31.9,35.483870967741936
Jonas Valančiūnas,36.225,51.61290322580645
Jarred Vanderbilt,27.25,29.03225806451613
Fred VanVleet,36.8,54.83870967741935
Devin Vassell,36.55,54.83870967741935
Gabe Vincent,15.0,22.58064516129032
Noah Vonleh,8.799999999999999,16.129032258064516
Nikola Vučević,38.275000000000006,41.935483870967744
Dean Wade,19.225,32.25806451612903
Franz Wagner,28.150000000000002,25.806451612903224
Jabari Walker,4.925,38.70967741935484
Lonnie Walker IV,26.425,32.25806451612903
John Wall,25.35,48.38709677419355
Duane Washington Jr.,0.7,22.58064516129032
P.J. Washington,28.85,38.70967741935484
Yuta Watanabe,6.4750000000000005,25.806451612903224
Lindy Waters III,3.0,12.903225806451612
Peyton Watson,2.5,25.806451612903224
Blake Wesley,12.25,38.70967741935484
Russell Westbrook,31.899999999999995,32.25806451612903
Coby White,14.424999999999999,16.129032258064516
Derrick White,20.975,35.483870967741936
Jack White,1.625,9.67741935483871
Aaron Wiggins,19.950000000000003,22.58064516129032
Andrew Wiggins,35.025000000000006,38.70967741935484
Grant Williams,20.5,45.16129032258064
Jalen Williams,17.875,38.70967741935484
Jaylin Williams,14.5,45.16129032258064
Kenrich Williams,16.0,12.903225806451612
Mark Williams,6.7250000000000005,45.16129032258064
Patrick Williams,12.999999999999998,29.03225806451613
Vince Williams Jr.,4.625,25.806451612903224
Zion Williamson,40.4,51.61290322580645
Justise Winslow,22.2,19.35483870967742
James Wiseman,15.999999999999998,29.03225806451613
Christian Wood,29.65,45.16129032258064
Delon Wright,22.074999999999996,25.806451612903224
McKinley Wright IV,9.5,45.16129032258064
Thaddeus Young,5.475,19.35483870967742
Trae Young,48.27499999999999,61.29032258064516
Ivica Zubac,31.474999999999998,29.03225806451613
